Segment ID plain text,Segment type,Start X (mm),Start Y (mm),Start Z (mm),Mid X (mm),Mid Y (mm),Mid Z (mm),End X (mm),End Y (mm),End Z (mm),Length (mm),Radius (mm),Arc center X (mm),Arc center Z (mm),Arc center Y (mm)
heart-left--back-01,Line,-8.67,-473.99,5439.85,-40,-262,5782,-48,0,5867,679,n/a,n/a,n/a,n/a
heart-left--back-02,Line,-23,-472,5448,-70,-267,5800,-82,0,5896,694,n/a,n/a,n/a,n/a
heart-left--back-03,Line,-41,-470,5454,-127,-273,5836,-153,0,5948,735,n/a,n/a,n/a,n/a
heart-left--back-04,Line,-56,-470,5455,-173,-276,5864,-207,0,5982,770,n/a,n/a,n/a,n/a
heart-left--back-05,Line,-82,-470,5451,-243,-274,5906,-283,0,6022,821,n/a,n/a,n/a,n/a
heart-left--back-06,Line,-177,-419,5673,-287,-269,5933,-334,0,6043,614,n/a,n/a,n/a,n/a
heart-left--back-07,Line,-98,-471,5443,-342,-253,5967,-385,0,6058,890,n/a,n/a,n/a,n/a
heart-left--back-08,Line,-226,-430,5648,-418,-251,5984,-468,0,6071,697,n/a,n/a,n/a,n/a
heart-left--back-09,Line,-112,-473,5432,-471,-265,5971,-536,0,6068,970,n/a,n/a,n/a,n/a
heart-left--back-10,Line,-269,-435,5629,-522,-266,5958,-597,0,6056,741,n/a,n/a,n/a,n/a
heart-left--back-11,Line,-123,-474,5421,-565,-262,5948,-646,0,6040,1009,n/a,n/a,n/a,n/a
heart-left--back-12,Line,-143,-470,5437,-638,-246,5930,-718,0,6007,1004,n/a,n/a,n/a,n/a
heart-left--back-13,Line,-187,-461,5473,-712,-232,5898,-791,0,5962,967,n/a,n/a,n/a,n/a
heart-left--back-14,Line,-188,-464,5456,-739,-243,5860,-835,0,5929,988,n/a,n/a,n/a,n/a
heart-left--back-15,Line,-204,-465,5443,-764,-249,5825,-873,0,5895,992,n/a,n/a,n/a,n/a
heart-left--back-16,Line,-368,-441,5551,-785,-252,5794,-902,0,5863,805,n/a,n/a,n/a,n/a
heart-left--back-17,Line,-280,-454,5483,-807,-253,5762,-930,0,5827,918,n/a,n/a,n/a,n/a
heart-left--back-18,Line,-360,-445,5508,-838,-251,5717,-964,0,5772,843,n/a,n/a,n/a,n/a
heart-left--back-19,Line,-129,-476,5407,-865,-245,5678,-985,0,5723,1094,n/a,n/a,n/a,n/a
heart-left--back-20,Line,-481,-430,5517,-881,-239,5656,-994,0,5695,732,n/a,n/a,n/a,n/a
heart-left--back-21,Line,-224,-468,5408,-881,-239,5656,-994,0,5695,1006,n/a,n/a,n/a,n/a
heart-left--back-22,Line,-224,-468,5408,-885,-241,5623,-1003,0,5660,1002,n/a,n/a,n/a,n/a
heart-left--back-23,Line,-398,-445,5456,-884,-246,5590,-1009,0,5625,820,n/a,n/a,n/a,n/a
heart-left--back-24,Line,-394,-446,5438,-883,-249,5553,-1014,0,5583,823,n/a,n/a,n/a,n/a
heart-left--back-25,Line,-135,-478,5387,-882,-250,5499,-1017,0,5519,1074,n/a,n/a,n/a,n/a
heart-left--back-26,Line,-223,-471,5385,-881,-250,5462,-1016,0,5478,983,n/a,n/a,n/a,n/a
heart-left--back-27,Line,-411,-442,5392,-880,-248,5419,-1012,0,5427,789,n/a,n/a,n/a,n/a
heart-left--back-28,Line,-226,-472,5372,-879,-246,5382,-1006,0,5384,968,n/a,n/a,n/a,n/a
heart-left--back-29,Line,-428,-436,5353,-871,-241,5337,-990,0,5333,753,n/a,n/a,n/a,n/a
heart-left--back-30,Line,-135,-481,5371,-826,-248,5278,-953,0,5261,1014,n/a,n/a,n/a,n/a
heart-left--back-31,Line,-273,-468,5335,-804,-252,5250,-935,0,5229,864,n/a,n/a,n/a,n/a
heart-left--back-32,Line,-364,-453,5308,-77,-260,5214,-908,0,5184,1230,n/a,n/a,n/a,n/a
heart-left--back-33,Line,-230,-476,5327,-749,-267,5177,-878,0,5140,878,n/a,n/a,n/a,n/a
heart-left--back-34,Line,-182,-481,5334,-724,-274,5144,-850,0,5099,915,n/a,n/a,n/a,n/a
heart-left--back-35,Line,-215,-480,5304,-694,-282,5105,-817,0,5054,867,n/a,n/a,n/a,n/a
heart-left--back-36,Line,-267,-474,5275,-669,-287,5073,-786,0,5016,802,n/a,n/a,n/a,n/a
heart-left--back-37,Line,-211,-482,5290,-633,-299,5038,-748,0,4970,852,n/a,n/a,n/a,n/a
heart-left--back-38,Line,-253,-477,5257,-599,-308,5005,-710,0,4927,797,n/a,n/a,n/a,n/a
heart-left--back-39,Line,-124,-486,5334,-567,-314,4974,-673,0,4887,939,n/a,n/a,n/a,n/a
heart-left--back-40,Line,-183,-486,5268,-545,-318,4952,-649,0,4861,856,n/a,n/a,n/a,n/a
heart-left--back-41,Line,-269,-471,5168,-507,-323,4916,-604,0,4816,729,n/a,n/a,n/a,n/a
heart-left--back-42,Line,-293,-461,5111,-473,-326,4885,-561,0,4774,674,n/a,n/a,n/a,n/a
heart-left--back-43,Line,-115,-489,5322,-440,-328,4855,-522,0,4738,949,n/a,n/a,n/a,n/a
heart-left--back-44,Line,-144,-491,5254,-415,-329,4832,-493,0,4711,886,n/a,n/a,n/a,n/a
heart-left--back-45,Line,-226,-472,5097,-381,-328,4801,-449,0,4671,723,n/a,n/a,n/a,n/a
heart-left--back-46,Line,-214,-470,5071,-352,-327,4774,-414,0,4641,716,n/a,n/a,n/a,n/a
heart-left--back-47,Line,-103,-491,5310,-327,-325,4752,-382,0,4613,982,n/a,n/a,n/a,n/a
heart-left--back-48,Line,-112,-494,5234,-304,-322,4731,-354,0,4590,920,n/a,n/a,n/a,n/a
heart-left--back-49,Line,-150,-483,5108,-269,-319,4701,-314,0,4555,808,n/a,n/a,n/a,n/a
heart-left--back-50,Line,-90,-493,5297,-223,-313,4661,-258,-38,4489,1000,n/a,n/a,n/a,n/a
heart-left--back-51,Line,-70,-495,5277,-180,-303,4619,-214,-38,4435,1019,n/a,n/a,n/a,n/a
heart-left--back-52,Line,-59,-496,5266,-145,-266,4545,-189,-38,4405,1033,n/a,n/a,n/a,n/a
heart-left--back-53,Line,-46,-497,5253,-126,-274,4544,-158,-38,4368,1044,n/a,n/a,n/a,n/a
